# S1 Rodriguez muon MCA histogram (MainRunFinal.Spe)
# Time calibration: t_ns = 2.2986 * channel + (-162.8) ns
# Total events: 22321   Live time: 71199 s
# Rebinned to 0.2 us bins for display
# Columns: channel, time_us, counts
#
# --- first 30 non-zero channels ---
 channel     time_us    counts
    1355      2.9518         4
    1356      2.9541        27
    1357      2.9564        48
    1358      2.9587        11
    1359      2.9610        12
    1360      2.9633        14
    1361      2.9656         9
    1362      2.9679        13
    1363      2.9702        11
    1364      2.9725        13
    1365      2.9748         6
    1366      2.9771        15
    1367      2.9794         9
    1368      2.9817        10
    1369      2.9840        15
    1370      2.9863         3
    1371      2.9886         7
    1372      2.9909         9
    1373      2.9932        14
    1374      2.9955        10
    1375      2.9978        10
    1376      3.0001         8
    1377      3.0024         7
    1378      3.0047        12
    1379      3.0070        11
    1380      3.0093         8
    1381      3.0116         5
    1382      3.0139         8
    1383      3.0162        10
    1384      3.0185        12
  ... (10237 more non-zero channels)
