# S3 triangle-wave fixture: 1000 Hz, 50 kHz sample rate, 100 ms
# 5000 samples total
# Columns: time_s, voltage_V
#
# --- first 30 rows ---
        time_s     voltage_V
    0.00000000      0.000000
    0.00002000      0.080000
    0.00004000      0.160000
    0.00006000      0.240000
    0.00008000      0.320000
    0.00010000      0.400000
    0.00012000      0.480000
    0.00014000      0.560000
    0.00016000      0.640000
    0.00018000      0.720000
    0.00020000      0.800000
    0.00022000      0.880000
    0.00024000      0.960000
    0.00026000      0.960000
    0.00028000      0.880000
    0.00030000      0.800000
    0.00032000      0.720000
    0.00034000      0.640000
    0.00036000      0.560000
    0.00038000      0.480000
    0.00040000      0.400000
    0.00042000      0.320000
    0.00044000      0.240000
    0.00046000      0.160000
    0.00048000      0.080000
    0.00050000      0.000000
    0.00052000     -0.080000
    0.00054000     -0.160000
    0.00056000     -0.240000
    0.00058000     -0.320000
  ... (4970 more rows)
#
# --- first 10 non-zero one-sided spectrum bins ---
   freq_Hz       |X|/Xpk
    1000.0      1.000000
    3000.0      0.110518
    5000.0      0.039345
    7000.0      0.019717
    9000.0      0.011617
#
# Peak: 1000.0 Hz,  |X| = 0.4050
